city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
city_103,0.92,Male,1,none,Graduate,STEM,>=10,100-500,Pvt Ltd,3,40,0.0
city_103,0.92,Male,1,part-time,Graduate,STEM,>=10,5000-9999,Pvt Ltd,>4,141,0.0
city_103,0.92,Female,0,full-time,Graduate,STEM,5-9,50-99,Pvt Ltd,1,24,0.0
city_160,0.92,Female,1,none,Graduate,STEM,>=10,100-500,Pvt Ltd,>4,82,0.0
city_16,0.91,Male,1,none,Graduate,Business Degree,>=10,5000-9999,Pvt Ltd,3,145,0.0
city_103,0.92,Male,1,none,Graduate,STEM,>=10,10-49,Early Stage Startup,2,206,0.0
city_114,0.926,Male,0,part-time,High School,STEM,0-2,>10000,Other,1,152,0.0
city_114,0.926,Male,1,none,Phd,STEM,>=10,100-500,Pvt Ltd,4,42,1.0
city_103,0.92,Male,0,none,Graduate,STEM,>=10,50-99,Pvt Ltd,4,50,0.0
city_71,0.884,Male,0,none,Graduate,STEM,3-4,50-99,Pvt Ltd,never,106,0.0
city_114,0.926,Female,1,full-time,Masters,STEM,>=10,1000-4999,Public Sector,2,14,0.0
city_104,0.924,Male,1,none,High School,STEM,3-4,10-49,Pvt Ltd,2,36,0.0
city_21,0.624,Male,1,none,Masters,STEM,5-9,50-99,Early Stage Startup,1,112,1.0
Other,0.6659999999999999,Male,0,none,Graduate,No Major,5-9,50-99,Pvt Ltd,never,108,0.0
city_21,0.624,Male,1,part-time,Masters,STEM,5-9,5000-9999,Pvt Ltd,3,7,1.0
city_21,0.624,Female,0,full-time,Masters,STEM,5-9,50-99,Pvt Ltd,never,26,1.0
city_21,0.624,Male,1,none,Graduate,STEM,5-9,100-500,Pvt Ltd,never,87,1.0
city_103,0.92,Other,1,none,Graduate,STEM,>=10,>10000,Public Sector,4,52,1.0
Other,0.5579999999999999,Male,1,none,Graduate,No Major,>=10,50-99,Pvt Ltd,>4,20,1.0
Other,0.923,Male,1,none,Graduate,STEM,>=10,10-49,Pvt Ltd,1,21,0.0
Other,0.5579999999999999,Male,0,none,Graduate,STEM,3-4,50-99,Pvt Ltd,1,92,1.0
Other,0.6659999999999999,Male,1,none,Graduate,STEM,>=10,100-500,Pvt Ltd,2,102,0.0
Other,0.794,Male,0,none,Graduate,Humanities,5-9,>10000,Pvt Ltd,>4,26,0.0
city_104,0.924,Male,1,none,Masters,STEM,3-4,<10,Early Stage Startup,2,7,0.0
city_114,0.926,Male,0,full-time,High School,STEM,3-4,>10000,Pvt Ltd,1,43,0.0
city_104,0.924,Male,1,none,Graduate,STEM,>=10,100-500,Pvt Ltd,1,45,0.0
city_73,0.754,Male,1,full-time,Graduate,STEM,0-2,50-99,Early Stage Startup,2,52,0.0
city_103,0.92,Male,1,none,Graduate,STEM,>=10,50-99,Pvt Ltd,2,19,0.0
city_21,0.624,Male,1,full-time,Graduate,STEM,0-2,10-49,Funded Startup,1,32,1.0
Other,0.767,Male,1,none,Graduate,Humanities,>=10,100-500,Pvt Ltd,>4,26,1.0
city_67,0.855,Male,1,part-time,Graduate,STEM,5-9,50-99,Pvt Ltd,1,90,0.0
city_75,0.939,Male,1,none,Graduate,STEM,5-9,100-500,Pvt Ltd,3,25,0.0
Other,0.8270000000000001,Male,1,none,Masters,STEM,>=10,<10,Pvt Ltd,1,15,0.0
city_100,0.887,Male,1,none,Masters,Humanities,>=10,100-500,Pvt Ltd,>4,48,0.0
city_11,0.55,Male,0,full-time,High School,STEM,3-4,50-99,Pvt Ltd,1,98,0.0
Other,0.865,Male,1,none,Graduate,STEM,>=10,50-99,Pvt Ltd,2,142,1.0
city_67,0.855,Other,0,none,Masters,Humanities,3-4,>10000,Pvt Ltd,4,13,0.0
city_16,0.91,Male,1,none,Graduate,STEM,>=10,50-99,Pvt Ltd,>4,47,0.0
city_16,0.91,Female,1,none,Masters,Humanities,>=10,500-999,Public Sector,1,28,0.0
Other,0.698,Male,0,none,Graduate,STEM,0-2,50-99,Pvt Ltd,never,228,1.0
Other,0.6659999999999999,Male,1,none,Graduate,STEM,>=10,50-99,Pvt Ltd,4,22,0.0
city_21,0.624,Male,0,full-time,Graduate,STEM,0-2,50-99,Pvt Ltd,never,18,1.0
Other,0.8270000000000001,Male,1,none,Graduate,STEM,0-2,10-49,Pvt Ltd,1,29,0.0
city_67,0.855,Male,1,none,Masters,STEM,5-9,100-500,Pvt Ltd,1,46,0.0
city_11,0.55,Male,0,full-time,Graduate,STEM,0-2,50-99,Pvt Ltd,never,12,0.0
city_103,0.92,Male,1,none,Graduate,STEM,5-9,100-500,Pvt Ltd,2,17,0.0
Other,0.893,Male,1,none,Masters,STEM,5-9,50-99,Pvt Ltd,2,65,0.0
city_103,0.92,Male,0,none,Graduate,Humanities,3-4,100-500,Pvt Ltd,1,35,0.0
city_67,0.855,Male,0,full-time,Graduate,STEM,5-9,>10000,Pvt Ltd,3,14,0.0
city_103,0.92,Female,1,none,Masters,STEM,0-2,<10,Early Stage Startup,1,4,0.0
city_103,0.92,Male,1,none,Graduate,STEM,>=10,50-99,Pvt Ltd,>4,12,0.0
city_160,0.92,Male,1,none,Graduate,STEM,>=10,50-99,Pvt Ltd,2,108,0.0
city_103,0.92,Male,0,none,Graduate,STEM,>=10,50-99,Pvt Ltd,1,136,0.0
city_103,0.92,Male,1,none,Graduate,STEM,5-9,10-49,Pvt Ltd,1,27,0.0
Other,0.7959999999999999,Male,1,part-time,Masters,STEM,3-4,50-99,Funded Startup,1,74,0.0
city_71,0.884,Male,1,none,Graduate,STEM,>=10,10-49,Early Stage Startup,1,86,0.0
Other,0.866,Female,0,part-time,Graduate,STEM,0-2,10-49,Pvt Ltd,2,83,0.0
city_103,0.92,Male,0,full-time,High School,STEM,3-4,50-99,Pvt Ltd,3,75,0.0
Other,0.698,Male,0,full-time,Masters,STEM,>=10,50-99,Public Sector,2,42,0.0
city_103,0.92,Female,1,none,Graduate,STEM,5-9,100-500,Pvt Ltd,1,332,0.0
Other,0.913,Male,0,full-time,Graduate,STEM,3-4,50-99,Pvt Ltd,1,140,0.0
city_16,0.91,Male,0,none,High School,STEM,3-4,50-99,Pvt Ltd,never,182,0.0
city_103,0.92,Female,0,none,Graduate,Humanities,3-4,100-500,Pvt Ltd,1,13,1.0
Other,0.682,Male,1,none,Graduate,STEM,5-9,10-49,Pvt Ltd,2,172,1.0
city_103,0.92,Male,1,none,Graduate,STEM,>=10,100-500,NGO,1,48,0.0
Other,0.802,Male,1,full-time,Graduate,STEM,5-9,50-99,Pvt Ltd,1,33,0.0
city_160,0.92,Male,0,full-time,High School,STEM,0-2,100-500,Pvt Ltd,1,142,0.0
Other,0.579,Male,0,full-time,Graduate,STEM,0-2,100-500,Pvt Ltd,1,34,0.0
Other,0.802,Male,1,none,Graduate,STEM,5-9,50-99,Pvt Ltd,2,14,1.0
city_11,0.55,Male,1,none,Graduate,STEM,5-9,10-49,Pvt Ltd,2,27,1.0
city_11,0.55,Male,1,none,Graduate,STEM,5-9,100-500,Pvt Ltd,1,24,1.0
Other,0.878,Male,0,none,Masters,STEM,>=10,50-99,Pvt Ltd,1,150,0.0
city_103,0.92,Female,1,none,Graduate,STEM,>=10,500-999,NGO,>4,20,0.0
city_103,0.92,Male,1,none,Graduate,STEM,5-9,500-999,Pvt Ltd,1,140,0.0
city_16,0.91,Male,1,none,Graduate,STEM,>=10,5000-9999,Pvt Ltd,1,52,0.0
city_75,0.939,Male,1,none,Graduate,STEM,>=10,50-99,Pvt Ltd,2,160,0.0
city_136,0.897,Male,1,none,Masters,STEM,5-9,5000-9999,Pvt Ltd,2,3,0.0
city_21,0.624,Male,1,none,Graduate,STEM,0-2,<10,Pvt Ltd,2,2,1.0
city_16,0.91,Male,1,none,Graduate,STEM,>=10,1000-4999,Pvt Ltd,>4,28,0.0
city_73,0.754,Male,1,none,Graduate,Other,>=10,50-99,Pvt Ltd,4,46,0.0
city_67,0.855,Male,1,none,Graduate,STEM,5-9,50-99,Pvt Ltd,1,210,0.0
city_114,0.926,Male,1,none,Graduate,STEM,>=10,<10,Pvt Ltd,1,36,0.0
Other,0.949,Male,0,full-time,Graduate,STEM,3-4,50-99,Pvt Ltd,1,160,1.0
city_21,0.624,Male,1,full-time,Graduate,STEM,0-2,10-49,NGO,2,101,0.0
city_114,0.926,Male,1,none,Masters,STEM,5-9,50-99,Pvt Ltd,1,46,0.0
Other,0.925,Male,1,none,Graduate,STEM,>=10,1000-4999,Pvt Ltd,>4,19,0.0
city_21,0.624,Male,1,none,Graduate,STEM,3-4,100-500,Pvt Ltd,2,26,1.0
Other,0.698,Male,1,full-time,Graduate,STEM,5-9,<10,NGO,1,90,0.0
Other,0.8959999999999999,Male,1,none,Graduate,STEM,5-9,<10,Pvt Ltd,4,59,0.0
city_160,0.92,Male,1,part-time,Graduate,Business Degree,>=10,50-99,Funded Startup,1,260,0.0
city_21,0.624,Female,1,none,Graduate,STEM,>=10,50-99,Pvt Ltd,>4,74,0.0
city_16,0.91,Male,1,none,Phd,STEM,>=10,100-500,Pvt Ltd,2,20,1.0
Other,0.878,Male,1,none,Graduate,STEM,>=10,100-500,Pvt Ltd,2,8,0.0
city_103,0.92,Male,1,none,Graduate,STEM,5-9,100-500,Pvt Ltd,1,131,0.0
Other,0.836,Male,1,full-time,Masters,STEM,5-9,50-99,Pvt Ltd,1,45,0.0
Other,0.693,Male,1,full-time,Graduate,STEM,>=10,10-49,Pvt Ltd,2,109,0.0
city_67,0.855,Male,1,none,Graduate,Humanities,3-4,100-500,Pvt Ltd,1,70,0.0
city_103,0.92,Female,1,none,Graduate,STEM,>=10,100-500,NGO,>4,17,0.0
city_103,0.92,Female,0,none,Masters,STEM,>=10,50-99,Pvt Ltd,1,51,0.0
city_103,0.92,Female,1,none,Graduate,STEM,5-9,50-99,Pvt Ltd,3,60,1.0
Other,0.893,Male,0,none,Phd,STEM,>=10,1000-4999,Public Sector,>4,4,0.0
city_114,0.926,Male,0,none,Graduate,STEM,>=10,100-500,Pvt Ltd,>4,7,0.0
city_102,0.804,Male,1,none,Masters,STEM,>=10,100-500,Pvt Ltd,3,164,0.0
Other,0.6659999999999999,Male,1,none,Graduate,STEM,>=10,50-99,Pvt Ltd,4,290,0.0
city_102,0.804,Male,0,none,High School,STEM,0-2,<10,NGO,never,145,0.0
city_103,0.92,Male,0,none,Phd,STEM,>=10,50-99,Pvt Ltd,1,70,0.0
city_21,0.624,Male,0,none,Graduate,STEM,3-4,50-99,Pvt Ltd,1,24,0.0
city_103,0.92,Male,0,none,Masters,Humanities,3-4,>10000,Pvt Ltd,1,133,1.0
city_11,0.55,Male,0,full-time,Graduate,STEM,0-2,50-99,Pvt Ltd,1,20,0.0
city_103,0.92,Male,1,none,Graduate,STEM,>=10,<10,Funded Startup,1,76,0.0
Other,0.698,Female,0,full-time,Masters,STEM,5-9,50-99,Pvt Ltd,4,21,1.0
city_21,0.624,Female,1,none,Graduate,Other,5-9,5000-9999,Pvt Ltd,2,34,0.0
city_160,0.92,Male,0,none,Graduate,STEM,5-9,<10,Pvt Ltd,2,15,0.0
Other,0.866,Male,0,none,Graduate,STEM,>=10,50-99,Pvt Ltd,>4,156,0.0
city_103,0.92,Male,1,none,Graduate,STEM,>=10,5000-9999,Pvt Ltd,>4,15,0.0
city_114,0.926,Male,1,none,Masters,STEM,>=10,50-99,Pvt Ltd,never,120,0.0
Other,0.769,Male,1,none,Graduate,No Major,>=10,>10000,Pvt Ltd,>4,47,0.0
city_73,0.754,Male,1,none,Graduate,STEM,>=10,50-99,Pvt Ltd,2,100,1.0
city_67,0.855,Male,1,part-time,Graduate,STEM,5-9,500-999,Pvt Ltd,never,102,0.0
city_103,0.92,Male,0,none,High School,STEM,3-4,50-99,Pvt Ltd,never,52,0.0
city_114,0.926,Male,1,none,High School,STEM,5-9,10-49,Pvt Ltd,4,39,0.0
city_103,0.92,Male,1,full-time,High School,STEM,3-4,50-99,Pvt Ltd,1,112,1.0
city_103,0.92,Male,0,none,Phd,STEM,>=10,50-99,Pvt Ltd,>4,14,0.0
city_16,0.91,Male,1,none,Graduate,STEM,>=10,50-99,Pvt Ltd,1,4,0.0
city_16,0.91,Male,1,none,Masters,Arts,>=10,1000-4999,NGO,>4,55,0.0
city_21,0.624,Male,1,none,Graduate,STEM,5-9,>10000,Pvt Ltd,4,49,1.0
city_16,0.91,Male,1,none,Graduate,STEM,>=10,50-99,Pvt Ltd,>4,72,0.0
Other,0.925,Male,1,full-time,Graduate,STEM,>=10,5000-9999,Pvt Ltd,3,141,1.0
city_114,0.926,Male,0,none,High School,STEM,5-9,50-99,Pvt Ltd,never,28,0.0
city_103,0.92,Male,1,none,Graduate,STEM,>=10,>10000,Pvt Ltd,1,6,0.0
city_103,0.92,Male,1,none,Graduate,No Major,>=10,5000-9999,Pvt Ltd,1,125,0.0
city_75,0.939,Male,1,none,Graduate,STEM,>=10,50-99,Pvt Ltd,never,326,0.0
city_103,0.92,Male,1,none,Graduate,Other,>=10,100-500,Pvt Ltd,2,33,0.0
city_102,0.804,Male,0,none,Masters,STEM,5-9,>10000,Pvt Ltd,>4,40,0.0
city_160,0.92,Male,1,none,Graduate,STEM,>=10,50-99,Pvt Ltd,1,198,1.0
city_103,0.92,Female,1,none,Masters,STEM,>=10,>10000,Pvt Ltd,>4,55,0.0
Other,0.698,Male,0,none,Graduate,STEM,>=10,500-999,Pvt Ltd,>4,32,0.0
city_103,0.92,Male,1,none,Graduate,Arts,>=10,100-500,Pvt Ltd,>4,11,0.0
city_73,0.754,Male,1,none,Graduate,STEM,>=10,<10,Pvt Ltd,1,41,0.0
city_103,0.92,Male,1,none,Masters,STEM,>=10,>10000,Public Sector,>4,87,1.0
city_67,0.855,Male,1,none,Masters,STEM,>=10,100-500,Pvt Ltd,4,114,0.0
Other,0.698,Male,1,none,Graduate,STEM,>=10,50-99,Pvt Ltd,>4,33,0.0
Other,0.698,Male,1,part-time,Masters,STEM,5-9,<10,Early Stage Startup,1,15,0.0
city_16,0.91,Male,0,full-time,High School,STEM,3-4,50-99,Pvt Ltd,1,8,0.0
Other,0.878,Female,1,part-time,High School,STEM,0-2,100-500,NGO,1,22,0.0
city_103,0.92,Male,1,none,Masters,STEM,>=10,5000-9999,Pvt Ltd,4,13,0.0
Other,0.949,Male,1,none,Graduate,STEM,>=10,<10,Public Sector,1,246,0.0
city_103,0.92,Male,1,none,Masters,STEM,5-9,10-49,Pvt Ltd,1,22,0.0
city_103,0.92,Male,1,none,Masters,STEM,>=10,<10,Funded Startup,1,81,0.0
Other,0.7759999999999999,Male,1,full-time,Graduate,STEM,3-4,10-49,Funded Startup,1,11,0.0
Other,0.698,Male,0,full-time,Graduate,STEM,5-9,5000-9999,Pvt Ltd,1,24,1.0
city_103,0.92,Male,1,none,Graduate,STEM,>=10,100-500,Funded Startup,1,50,0.0
city_104,0.924,Male,0,full-time,High School,STEM,5-9,50-99,Pvt Ltd,never,15,0.0
Other,0.939,Male,1,none,Masters,STEM,>=10,10-49,Pvt Ltd,>4,31,0.0
city_114,0.926,Male,1,none,Masters,STEM,>=10,50-99,Pvt Ltd,never,84,0.0
city_136,0.897,Male,1,part-time,Graduate,STEM,3-4,>10000,Pvt Ltd,1,42,0.0
city_21,0.624,Male,1,none,Graduate,STEM,>=10,10-49,Pvt Ltd,>4,105,1.0
city_103,0.92,Female,1,none,Graduate,STEM,>=10,50-99,Pvt Ltd,>4,72,0.0
Other,0.789,Male,1,none,Graduate,STEM,>=10,10-49,Pvt Ltd,>4,42,1.0
Other,0.698,Male,1,none,Graduate,STEM,>=10,50-99,Early Stage Startup,1,152,0.0
city_103,0.92,Male,1,none,Graduate,STEM,>=10,>10000,Pvt Ltd,1,60,0.0
city_21,0.624,Male,0,full-time,Masters,STEM,0-2,50-99,Pvt Ltd,never,8,0.0
city_16,0.91,Male,0,full-time,Masters,STEM,>=10,50-99,Pvt Ltd,3,17,1.0
Other,0.923,Male,0,none,High School,STEM,0-2,50-99,Pvt Ltd,1,33,0.0
city_16,0.91,Male,1,none,Masters,STEM,3-4,100-500,Funded Startup,never,38,0.0
city_103,0.92,Male,1,none,Graduate,Humanities,>=10,<10,Early Stage Startup,2,178,0.0
city_160,0.92,Male,1,none,Graduate,STEM,>=10,50-99,Pvt Ltd,1,11,0.0
Other,0.893,Male,1,none,High School,STEM,>=10,50-99,Pvt Ltd,never,87,0.0
Other,0.802,Male,1,none,Graduate,STEM,>=10,50-99,Pvt Ltd,never,84,0.0
city_71,0.884,Male,1,none,Graduate,STEM,>=10,100-500,Early Stage Startup,2,32,0.0
city_100,0.887,Male,1,none,Masters,STEM,5-9,100-500,Pvt Ltd,1,31,1.0
city_21,0.624,Male,0,none,Graduate,STEM,0-2,500-999,Public Sector,1,39,0.0
Other,0.775,Male,1,none,Graduate,STEM,5-9,10-49,Pvt Ltd,1,12,0.0
city_21,0.624,Male,1,full-time,Graduate,STEM,5-9,>10000,Pvt Ltd,1,50,0.0
Other,0.903,Male,1,none,Graduate,STEM,3-4,100-500,Pvt Ltd,1,55,1.0
city_11,0.55,Male,1,none,Graduate,STEM,5-9,50-99,Pvt Ltd,1,7,1.0
city_103,0.92,Male,1,none,Masters,Humanities,0-2,50-99,Early Stage Startup,1,104,0.0
city_160,0.92,Male,1,full-time,Graduate,Business Degree,>=10,50-99,Pvt Ltd,>4,90,1.0
city_103,0.92,Male,1,none,Masters,Other,>=10,100-500,Pvt Ltd,>4,8,0.0
city_21,0.624,Male,0,full-time,Graduate,STEM,0-2,50-99,Pvt Ltd,never,102,0.0
city_21,0.624,Male,1,none,Masters,STEM,0-2,10-49,Pvt Ltd,1,202,1.0
Other,0.555,Male,1,none,Graduate,STEM,3-4,100-500,Pvt Ltd,1,22,0.0
city_21,0.624,Male,0,full-time,Graduate,STEM,3-4,50-99,Pvt Ltd,never,42,0.0
city_160,0.92,Male,0,none,Primary School,STEM,3-4,50-99,Pvt Ltd,never,50,0.0
city_21,0.624,Male,1,none,Masters,STEM,3-4,50-99,Funded Startup,1,88,0.0
city_73,0.754,Male,1,none,Graduate,STEM,5-9,1000-4999,Pvt Ltd,4,81,0.0
city_103,0.92,Male,1,none,Masters,STEM,>=10,>10000,Pvt Ltd,1,7,0.0
city_21,0.624,Male,0,none,Graduate,STEM,3-4,50-99,Pvt Ltd,never,218,0.0
city_16,0.91,Male,1,none,Graduate,STEM,>=10,>10000,Pvt Ltd,>4,62,0.0
city_103,0.92,Male,1,none,Graduate,STEM,5-9,50-99,Pvt Ltd,1,83,0.0
Other,0.939,Male,1,none,Graduate,STEM,5-9,1000-4999,Pvt Ltd,>4,11,0.0
city_114,0.926,Male,0,part-time,Phd,STEM,>=10,50-99,Pvt Ltd,>4,10,0.0
Other,0.939,Male,1,none,Masters,STEM,>=10,1000-4999,Pvt Ltd,1,114,0.0
city_21,0.624,Male,1,none,Masters,STEM,3-4,50-99,Pvt Ltd,1,36,0.0
city_102,0.804,Male,0,none,Masters,STEM,5-9,10-49,Pvt Ltd,1,17,0.0
city_16,0.91,Male,0,full-time,Graduate,STEM,0-2,50-99,Pvt Ltd,never,80,1.0
city_160,0.92,Male,1,part-time,Graduate,STEM,>=10,50-99,Public Sector,>4,108,0.0
city_103,0.92,Male,1,none,Graduate,STEM,0-2,100-500,Pvt Ltd,2,45,0.0
city_103,0.92,Male,0,full-time,Graduate,STEM,5-9,50-99,Pvt Ltd,never,77,0.0
city_114,0.926,Male,1,none,Masters,STEM,>=10,100-500,Pvt Ltd,2,8,0.0
Other,0.878,Male,0,none,Graduate,STEM,5-9,50-99,Pvt Ltd,1,28,0.0
Other,0.727,Female,1,none,Graduate,STEM,5-9,100-500,Funded Startup,>4,37,0.0
city_16,0.91,Male,0,full-time,Graduate,STEM,0-2,50-99,Pvt Ltd,2,108,1.0
city_103,0.92,Male,1,none,Graduate,STEM,>=10,500-999,Pvt Ltd,2,162,0.0
city_73,0.754,Male,1,full-time,High School,STEM,5-9,50-99,Pvt Ltd,>4,41,0.0
Other,0.903,Male,1,none,Masters,STEM,>=10,100-500,Pvt Ltd,4,4,0.0
city_71,0.884,Female,0,none,Phd,STEM,3-4,1000-4999,Public Sector,1,41,0.0
Other,0.903,Male,1,none,Graduate,STEM,>=10,>10000,Pvt Ltd,2,12,0.0
city_103,0.92,Male,1,none,Graduate,STEM,>=10,50-99,Pvt Ltd,1,190,0.0
city_21,0.624,Male,1,none,Graduate,STEM,5-9,50-99,Pvt Ltd,>4,29,1.0
city_103,0.92,Male,1,none,Graduate,STEM,5-9,100-500,Public Sector,1,11,0.0
city_103,0.92,Male,0,full-time,High School,STEM,3-4,>10000,Pvt Ltd,1,30,0.0
city_103,0.92,Male,1,none,Masters,STEM,>=10,100-500,Pvt Ltd,>4,39,0.0
city_102,0.804,Male,1,full-time,High School,STEM,5-9,50-99,Pvt Ltd,1,16,0.0
city_114,0.926,Male,0,none,Graduate,STEM,>=10,50-99,Pvt Ltd,>4,5,0.0
Other,0.698,Male,0,full-time,High School,STEM,5-9,50-99,Pvt Ltd,never,39,0.0
city_114,0.926,Male,1,none,Masters,STEM,>=10,50-99,Pvt Ltd,>4,29,0.0
city_21,0.624,Male,1,full-time,Masters,STEM,3-4,50-99,NGO,2,210,0.0
city_103,0.92,Other,0,part-time,High School,STEM,5-9,50-99,Funded Startup,1,54,0.0
city_160,0.92,Male,1,none,Graduate,STEM,5-9,50-99,Pvt Ltd,3,44,0.0
city_16,0.91,Male,1,none,Graduate,STEM,>=10,50-99,Pvt Ltd,>4,47,0.0
city_103,0.92,Male,1,none,Graduate,STEM,>=10,1000-4999,NGO,>4,74,0.0
city_21,0.624,Male,1,none,Masters,STEM,5-9,10-49,Pvt Ltd,1,8,1.0
city_21,0.624,Male,0,full-time,Graduate,STEM,5-9,50-99,Pvt Ltd,never,20,1.0
city_103,0.92,Male,1,none,Graduate,STEM,3-4,500-999,Pvt Ltd,1,162,0.0
Other,0.893,Male,0,none,Graduate,Business Degree,0-2,50-99,Pvt Ltd,1,110,0.0
Other,0.762,Other,1,part-time,High School,STEM,3-4,10-49,Pvt Ltd,1,262,0.0
Other,0.836,Male,1,none,Masters,STEM,>=10,50-99,Pvt Ltd,1,6,0.0
Other,0.6659999999999999,Male,1,part-time,Graduate,STEM,5-9,10-49,Pvt Ltd,1,19,1.0
Other,0.6659999999999999,Other,0,none,Graduate,STEM,>=10,50-99,Pvt Ltd,>4,23,1.0
city_21,0.624,Male,0,none,Graduate,STEM,0-2,50-99,Pvt Ltd,1,107,1.0
city_136,0.897,Male,1,none,Masters,STEM,>=10,>10000,Pvt Ltd,>4,134,0.0
city_114,0.926,Male,1,none,Masters,STEM,>=10,10-49,Early Stage Startup,1,40,0.0
city_71,0.884,Male,1,none,Graduate,STEM,>=10,50-99,Pvt Ltd,1,11,0.0
city_160,0.92,Male,1,none,Graduate,STEM,>=10,50-99,Pvt Ltd,3,102,0.0
city_21,0.624,Male,0,full-time,Graduate,STEM,0-2,50-99,Pvt Ltd,never,100,0.0
Other,0.923,Male,0,none,Masters,STEM,3-4,>10000,Pvt Ltd,never,30,0.0
city_103,0.92,Male,0,none,High School,STEM,5-9,50-99,Pvt Ltd,1,20,1.0
city_103,0.92,Male,1,none,Graduate,STEM,>=10,1000-4999,Pvt Ltd,3,4,0.0
city_16,0.91,Male,0,none,Primary School,STEM,5-9,50-99,Pvt Ltd,never,15,0.0
city_21,0.624,Male,0,none,Graduate,STEM,0-2,50-99,Pvt Ltd,1,14,1.0
Other,0.923,Male,0,none,Primary School,STEM,0-2,50-99,Pvt Ltd,never,103,0.0
city_160,0.92,Male,1,part-time,Graduate,STEM,5-9,1000-4999,Public Sector,2,40,0.0
city_16,0.91,Male,1,none,Phd,STEM,>=10,100-500,Pvt Ltd,2,27,0.0
city_114,0.926,Male,0,none,High School,STEM,>=10,100-500,Pvt Ltd,>4,46,0.0
city_114,0.926,Male,1,none,High School,STEM,5-9,50-99,Pvt Ltd,>4,110,0.0
city_103,0.92,Male,1,none,Graduate,STEM,>=10,50-99,Funded Startup,1,96,0.0
city_103,0.92,Male,1,none,Graduate,STEM,5-9,>10000,Pvt Ltd,2,57,0.0
city_160,0.92,Male,1,full-time,Graduate,STEM,5-9,50-99,Pvt Ltd,1,240,0.0
Other,0.949,Male,1,none,Graduate,STEM,3-4,50-99,Funded Startup,4,42,0.0
city_75,0.939,Male,1,none,Masters,STEM,5-9,50-99,Pvt Ltd,1,16,1.0
Other,0.64,Male,1,none,Graduate,STEM,>=10,50-99,Pvt Ltd,never,40,1.0
city_103,0.92,Male,1,none,Graduate,STEM,5-9,100-500,Funded Startup,2,94,0.0
